user_id,academic_year,branch,skills,quiz_q1_response,quiz_q2_response,quiz_q3_response,quiz_q4_response,quiz_q5_response,quiz_q6_response,quiz_q7_response,quiz_q8_response,quiz_q9_response,quiz_q10_response,visual_percent,auditory_percent,kinesthetic_percent,recommended_format,recommended_courses,recommended_books,recommended_blogs
3346,Third Year (TE),Electronics & Communication,"React, Python",A,C,A,B,A,A,C,C,B,B,50,47,3,Videos,"ML Bootcamp, AWS Cloud Essentials, Cybersecurity Basics",Python Crash Course,geeksforgeeks.org
3347,Final Year (BE),Information Technology,"Docker, C++, Linux",B,C,A,C,A,A,B,C,B,B,46,18,36,Videos,Intro to DSA,Python Crash Course,dev.to
3348,First Year (FE),Artificial Intelligence and Machine Learning,"CSS, Figma",A,A,C,B,C,C,C,A,C,C,13,47,40,Podcasts,"Cybersecurity Basics, ML Bootcamp",Design Patterns,"medium.com, towardsdatascience.com"
3349,First Year (FE),Artificial Intelligence and Machine Learning,"HTML, Java, React, AWS, Python",A,C,A,B,B,C,B,B,A,A,15,43,42,Podcasts,Intro to DSA,"Python Crash Course, Design Patterns","geeksforgeeks.org, towardsdatascience.com"
3350,Second Year (SE),Artificial Intelligence and Machine Learning,"CSS, React, SQL",A,C,A,A,B,A,C,B,C,C,39,38,23,Videos,"Frontend Crash Course, ML Bootcamp, Intro to DSA",AI: A Modern Approach,towardsdatascience.com
3351,First Year (FE),Electronics & Communication,"CSS, Java, Figma, C++, AWS",A,A,A,B,B,A,B,C,B,C,48,48,4,Videos,"ML Bootcamp, Cybersecurity Basics","Python Crash Course, AI: A Modern Approach","geeksforgeeks.org, freecodecamp.org"
3352,Final Year (BE),Information Technology,"React, AWS",C,A,A,B,A,C,B,A,A,A,12,29,59,Projects,"Cybersecurity Basics, Frontend Crash Course",AI: A Modern Approach,geeksforgeeks.org
3353,First Year (FE),Computer Science Engineering,"Java, HTML, Docker, C++",A,C,A,A,B,A,A,B,B,B,36,40,24,Podcasts,Intro to DSA,"Design Patterns, AI: A Modern Approach",dev.to
3354,Final Year (BE),Artificial Intelligence and Machine Learning,"HTML, Figma, AWS, Docker, C++",C,B,C,B,B,A,C,A,B,B,30,27,43,Projects,Intro to DSA,"AI: A Modern Approach, You Don’t Know JS","freecodecamp.org, geeksforgeeks.org"
3355,Third Year (TE),Electronics and Computer Engineering,"JavaScript, Docker, Figma, CSS, AWS",A,C,B,C,A,A,C,C,B,C,44,14,42,Videos,Intro to DSA,Clean Code,dev.to
3356,Final Year (BE),Electronics & Communication,"Linux, CSS",B,A,B,B,B,C,A,B,C,C,14,23,63,Projects,"ML Bootcamp, AWS Cloud Essentials",Clean Code,geeksforgeeks.org
3357,Second Year (SE),Computer Science Engineering,"React, Java, SQL, Docker",A,B,C,A,A,C,C,C,C,C,14,15,71,Projects,"ML Bootcamp, Intro to DSA","Python Crash Course, Clean Code",towardsdatascience.com
3358,Third Year (TE),Information Technology,"Java, CSS, Figma, Linux, SQL",A,B,C,B,C,C,A,C,C,C,12,59,29,Podcasts,"Intro to DSA, ML Bootcamp",Python Crash Course,"dev.to, towardsdatascience.com"
3359,Second Year (SE),Information Technology,"Linux, AWS, C++",B,B,B,B,C,C,C,A,B,C,51,27,22,Videos,ML Bootcamp,Python Crash Course,"dev.to, towardsdatascience.com"
3360,First Year (FE),Artificial Intelligence and Machine Learning,"AWS, Figma, React, HTML",B,B,B,A,A,B,A,C,A,B,12,84,4,Podcasts,"ML Bootcamp, Frontend Crash Course","Design Patterns, Python Crash Course",dev.to
3361,Third Year (TE),Information Technology,"React, CSS, HTML, Python, Java",B,A,A,C,B,B,B,C,C,C,19,61,20,Podcasts,"Intro to DSA, Cybersecurity Basics","You Don’t Know JS, Design Patterns",towardsdatascience.com
3362,Final Year (BE),Computer Science Engineering,"CSS, React, C++, Python, Linux",A,B,C,B,C,B,B,A,C,A,23,72,5,Podcasts,"Cybersecurity Basics, ML Bootcamp","Python Crash Course, Clean Code","freecodecamp.org, towardsdatascience.com"
3363,Second Year (SE),Electronics & Communication,"Docker, AWS",B,C,A,C,C,C,A,A,C,B,16,51,33,Podcasts,Frontend Crash Course,Python Crash Course,geeksforgeeks.org
3364,Third Year (TE),Computer Science Engineering,"C++, AWS, Figma, JavaScript, Python",B,C,C,A,A,C,C,A,A,C,60,21,19,Videos,"AWS Cloud Essentials, Frontend Crash Course",You Don’t Know JS,"geeksforgeeks.org, dev.to"
3365,First Year (FE),Information Technology,"React, JavaScript, HTML, Docker, CSS",C,C,A,B,C,C,A,C,C,C,52,10,38,Videos,AWS Cloud Essentials,Design Patterns,"geeksforgeeks.org, medium.com"
3366,Second Year (SE),Electronics & Communication,"HTML, Linux, Docker",A,B,C,A,C,C,C,B,B,A,57,34,9,Videos,Intro to DSA,"Clean Code, You Don’t Know JS","geeksforgeeks.org, medium.com"
3367,Second Year (SE),Artificial Intelligence and Machine Learning,"JavaScript, Java, SQL",B,C,A,B,A,A,A,C,C,A,36,55,9,Podcasts,"AWS Cloud Essentials, Frontend Crash Course, Intro to DSA",Python Crash Course,"freecodecamp.org, geeksforgeeks.org"
3368,Final Year (BE),Computer Science Engineering,"Docker, JavaScript, Linux, HTML, Java",B,C,A,C,A,B,B,A,A,B,28,67,5,Podcasts,"ML Bootcamp, Intro to DSA, Frontend Crash Course",AI: A Modern Approach,"freecodecamp.org, dev.to"
3369,Final Year (BE),Artificial Intelligence and Machine Learning,"Docker, HTML",A,C,C,A,B,C,C,B,B,A,26,52,22,Podcasts,"Intro to DSA, ML Bootcamp","Design Patterns, You Don’t Know JS",dev.to
3370,First Year (FE),Information Technology,"Java, JavaScript, C++, Figma",B,A,A,B,A,B,B,B,A,B,15,13,72,Projects,"Frontend Crash Course, Intro to DSA","You Don’t Know JS, AI: A Modern Approach","towardsdatascience.com, medium.com"
3371,Final Year (BE),Artificial Intelligence and Machine Learning,"AWS, HTML, Docker",B,C,A,C,B,A,B,B,C,C,17,72,11,Podcasts,ML Bootcamp,"Python Crash Course, You Don’t Know JS",medium.com
3372,Third Year (TE),Information Technology,"Java, AWS",B,C,A,C,C,B,B,C,B,C,48,49,3,Podcasts,"Cybersecurity Basics, AWS Cloud Essentials, Frontend Crash Course",Clean Code,freecodecamp.org
3373,Third Year (TE),Artificial Intelligence and Machine Learning,"Python, C++, Linux",B,B,A,A,B,B,A,C,C,C,47,17,36,Videos,"AWS Cloud Essentials, Frontend Crash Course","Python Crash Course, Clean Code","dev.to, towardsdatascience.com"
3374,Third Year (TE),Electronics and Computer Engineering,"React, Linux",B,B,C,A,C,A,A,A,C,A,58,30,12,Videos,Intro to DSA,"AI: A Modern Approach, You Don’t Know JS","towardsdatascience.com, freecodecamp.org"
3375,Third Year (TE),Computer Science Engineering,"Figma, AWS, SQL, Linux, Docker",B,A,C,C,A,B,A,A,A,C,37,15,48,Projects,"Cybersecurity Basics, Intro to DSA, ML Bootcamp",You Don’t Know JS,dev.to
3376,Second Year (SE),Electronics & Communication,"AWS, Docker, Figma, C++, React",C,A,B,C,A,B,C,B,C,C,26,72,2,Podcasts,"Cybersecurity Basics, ML Bootcamp, Frontend Crash Course","Design Patterns, AI: A Modern Approach",geeksforgeeks.org
3377,Final Year (BE),Information Technology,"JavaScript, Figma",B,C,B,C,A,C,A,A,A,A,51,16,33,Videos,"Frontend Crash Course, Intro to DSA, AWS Cloud Essentials",Python Crash Course,"medium.com, geeksforgeeks.org"
3378,Third Year (TE),Computer Science Engineering,"CSS, Linux",C,B,A,B,C,B,C,A,A,C,55,20,25,Videos,Frontend Crash Course,"Clean Code, You Don’t Know JS","dev.to, geeksforgeeks.org"
3379,Third Year (TE),Electronics and Computer Engineering,"Python, C++",A,B,C,B,A,B,A,B,B,B,32,15,53,Projects,"Cybersecurity Basics, Intro to DSA, ML Bootcamp","Clean Code, AI: A Modern Approach","geeksforgeeks.org, dev.to"
3380,Second Year (SE),Computer Science Engineering,"AWS, Docker",B,A,C,B,A,C,C,C,B,C,11,47,42,Podcasts,Intro to DSA,You Don’t Know JS,dev.to
3381,Final Year (BE),Electronics & Communication,"CSS, AWS, Linux, HTML",C,B,B,A,C,A,A,A,B,B,22,16,62,Projects,Frontend Crash Course,"You Don’t Know JS, Clean Code",dev.to
3382,Third Year (TE),Artificial Intelligence and Machine Learning,"CSS, Linux",A,A,B,B,C,A,C,B,B,C,52,10,38,Videos,"Frontend Crash Course, Intro to DSA",Clean Code,towardsdatascience.com
3383,Final Year (BE),Information Technology,"SQL, HTML, Python, JavaScript",B,A,A,B,C,A,A,C,C,C,41,53,6,Podcasts,AWS Cloud Essentials,AI: A Modern Approach,"dev.to, towardsdatascience.com"
3384,Third Year (TE),Electronics and Computer Engineering,"C++, Python, Java",C,C,C,A,A,C,B,A,B,C,20,34,46,Projects,"AWS Cloud Essentials, ML Bootcamp",You Don’t Know JS,"freecodecamp.org, dev.to"
3385,Third Year (TE),Artificial Intelligence and Machine Learning,"Linux, React, Java, Python",C,B,B,A,A,C,A,A,A,A,28,19,53,Projects,Cybersecurity Basics,AI: A Modern Approach,medium.com
3386,Second Year (SE),Computer Science Engineering,"Java, JavaScript, CSS, Docker, HTML",A,C,B,B,B,C,A,A,C,C,22,45,33,Podcasts,"Intro to DSA, Frontend Crash Course, Cybersecurity Basics","Python Crash Course, Clean Code","freecodecamp.org, medium.com"
3387,Second Year (SE),Electronics and Computer Engineering,"CSS, Docker, SQL, React",B,A,A,B,A,C,C,C,A,A,26,41,33,Podcasts,"ML Bootcamp, Cybersecurity Basics, Intro to DSA","You Don’t Know JS, Python Crash Course","dev.to, geeksforgeeks.org"
3388,Third Year (TE),Computer Science Engineering,"React, Python, C++",B,B,A,C,C,B,C,B,A,C,49,46,5,Videos,"Cybersecurity Basics, Frontend Crash Course",Python Crash Course,dev.to
3389,First Year (FE),Electronics & Communication,"C++, CSS, SQL",A,A,C,A,C,C,B,C,A,A,10,39,51,Projects,"AWS Cloud Essentials, Frontend Crash Course","You Don’t Know JS, Design Patterns",dev.to
3390,Final Year (BE),Electronics & Communication,"JavaScript, Docker, React, CSS",C,B,C,B,C,A,A,B,B,B,27,53,20,Podcasts,"Frontend Crash Course, Cybersecurity Basics","Clean Code, Design Patterns","medium.com, freecodecamp.org"
3391,First Year (FE),Electronics & Communication,"Docker, React, C++",B,B,A,A,C,A,B,A,A,B,21,67,12,Podcasts,"Cybersecurity Basics, Frontend Crash Course, Intro to DSA",Python Crash Course,"medium.com, geeksforgeeks.org"
3392,Third Year (TE),Artificial Intelligence and Machine Learning,"Figma, React, Python, JavaScript, Linux",C,B,B,B,B,B,A,B,C,A,55,23,22,Videos,"AWS Cloud Essentials, Frontend Crash Course, ML Bootcamp",Python Crash Course,"geeksforgeeks.org, freecodecamp.org"
3393,Final Year (BE),Electronics & Communication,"Python, React, CSS, HTML",C,A,C,B,C,C,C,B,C,B,50,49,1,Videos,ML Bootcamp,"You Don’t Know JS, Design Patterns",towardsdatascience.com
3394,Final Year (BE),Electronics and Computer Engineering,"React, JavaScript, Figma, AWS, Java",A,B,B,A,C,A,A,A,B,A,52,46,2,Videos,"Cybersecurity Basics, ML Bootcamp",Python Crash Course,medium.com
3395,Second Year (SE),Electronics & Communication,"JavaScript, Figma",C,C,B,B,B,B,B,B,A,B,37,19,44,Projects,Frontend Crash Course,"AI: A Modern Approach, You Don’t Know JS",towardsdatascience.com
3396,First Year (FE),Artificial Intelligence and Machine Learning,"AWS, Java, C++",A,A,B,A,B,A,C,B,B,C,39,39,22,Videos,"AWS Cloud Essentials, ML Bootcamp, Frontend Crash Course","Design Patterns, AI: A Modern Approach","medium.com, dev.to"
3397,Third Year (TE),Electronics & Communication,"C++, Java",A,B,A,B,C,C,C,C,B,B,37,37,26,Videos,ML Bootcamp,You Don’t Know JS,"medium.com, towardsdatascience.com"
3398,Second Year (SE),Computer Science Engineering,"C++, Python, HTML, SQL",B,A,C,A,C,A,A,B,B,C,10,59,31,Podcasts,"Frontend Crash Course, Cybersecurity Basics, Intro to DSA",Design Patterns,freecodecamp.org
3399,Final Year (BE),Electronics and Computer Engineering,"Linux, AWS, Java, Docker, SQL",A,C,A,B,A,A,C,C,A,A,24,76,0,Podcasts,"Intro to DSA, AWS Cloud Essentials, Frontend Crash Course","Clean Code, AI: A Modern Approach","medium.com, geeksforgeeks.org"
3400,Final Year (BE),Electronics & Communication,"Docker, C++, CSS, React, AWS",B,B,A,C,B,B,A,B,B,C,28,41,31,Podcasts,"Frontend Crash Course, Intro to DSA, AWS Cloud Essentials",AI: A Modern Approach,"freecodecamp.org, geeksforgeeks.org"
3401,Third Year (TE),Computer Science Engineering,"JavaScript, Linux, Python, Docker, SQL",C,C,A,C,C,A,B,A,B,C,31,65,4,Podcasts,"AWS Cloud Essentials, ML Bootcamp, Intro to DSA","AI: A Modern Approach, Clean Code",medium.com
3402,First Year (FE),Electronics & Communication,"HTML, C++, Figma",B,A,B,A,C,B,A,B,A,A,35,33,32,Videos,Intro to DSA,"Design Patterns, Python Crash Course","freecodecamp.org, geeksforgeeks.org"
3403,First Year (FE),Information Technology,"Python, SQL, HTML, AWS",C,A,B,C,B,C,A,C,A,A,21,12,67,Projects,"Cybersecurity Basics, ML Bootcamp, Intro to DSA","Clean Code, Design Patterns",geeksforgeeks.org
3404,Third Year (TE),Computer Science Engineering,"CSS, SQL",A,C,A,A,C,C,A,B,A,C,44,37,19,Videos,"Frontend Crash Course, AWS Cloud Essentials, Intro to DSA",You Don’t Know JS,freecodecamp.org
3405,First Year (FE),Electronics & Communication,"HTML, Linux, Figma, CSS, React",B,A,A,C,B,A,C,C,B,C,57,15,28,Videos,Frontend Crash Course,"Design Patterns, AI: A Modern Approach",medium.com
3406,Second Year (SE),Artificial Intelligence and Machine Learning,"Docker, Linux, Figma, Python",C,C,B,C,A,A,A,B,C,C,22,54,24,Podcasts,"AWS Cloud Essentials, Cybersecurity Basics","Python Crash Course, Clean Code","geeksforgeeks.org, towardsdatascience.com"
3407,Third Year (TE),Electronics and Computer Engineering,"SQL, Linux",C,B,A,A,C,B,A,B,B,C,24,34,42,Projects,"Intro to DSA, Frontend Crash Course",AI: A Modern Approach,geeksforgeeks.org
3408,Third Year (TE),Electronics & Communication,"Figma, JavaScript, CSS",C,A,B,B,A,A,C,C,B,B,46,12,42,Videos,Intro to DSA,"You Don’t Know JS, Python Crash Course","medium.com, towardsdatascience.com"
3409,First Year (FE),Information Technology,"Linux, C++",C,B,B,A,C,B,B,A,B,C,41,32,27,Videos,Intro to DSA,"Design Patterns, AI: A Modern Approach",medium.com
3410,Second Year (SE),Electronics and Computer Engineering,"Figma, Docker, JavaScript, C++",B,A,A,A,A,C,A,C,C,B,35,54,11,Podcasts,"AWS Cloud Essentials, Frontend Crash Course, Cybersecurity Basics","You Don’t Know JS, Design Patterns","dev.to, freecodecamp.org"
3411,Final Year (BE),Information Technology,"JavaScript, Java",B,C,B,B,C,C,B,A,A,B,20,34,46,Projects,AWS Cloud Essentials,You Don’t Know JS,dev.to
3412,First Year (FE),Electronics & Communication,"C++, Java, Python",A,C,B,C,A,B,C,C,B,B,58,39,3,Videos,"Frontend Crash Course, Intro to DSA",You Don’t Know JS,"towardsdatascience.com, freecodecamp.org"
3413,Final Year (BE),Electronics & Communication,"React, Linux",B,A,C,A,C,A,A,A,B,C,10,37,53,Projects,"Frontend Crash Course, AWS Cloud Essentials",Design Patterns,"dev.to, freecodecamp.org"
3414,Second Year (SE),Computer Science Engineering,"Python, Linux, C++, Java, HTML",A,C,B,B,A,A,B,A,A,C,46,16,38,Videos,"ML Bootcamp, Cybersecurity Basics, Intro to DSA",Clean Code,geeksforgeeks.org
3415,Third Year (TE),Computer Science Engineering,"Docker, SQL, Linux, HTML, AWS",A,A,B,A,A,A,B,B,A,A,52,35,13,Videos,"Cybersecurity Basics, Frontend Crash Course, AWS Cloud Essentials",Clean Code,"medium.com, towardsdatascience.com"
3416,Final Year (BE),Information Technology,"Python, C++",A,B,A,C,C,A,A,B,A,C,47,41,12,Videos,Cybersecurity Basics,"AI: A Modern Approach, Python Crash Course","geeksforgeeks.org, dev.to"
3417,Final Year (BE),Artificial Intelligence and Machine Learning,"Java, C++, Linux, HTML",C,B,B,B,C,C,B,A,B,C,18,64,18,Podcasts,"ML Bootcamp, Cybersecurity Basics, Frontend Crash Course",You Don’t Know JS,"geeksforgeeks.org, medium.com"
3418,Final Year (BE),Electronics and Computer Engineering,"HTML, Linux, AWS, Python, Java",A,C,A,B,B,C,C,A,C,A,24,51,25,Podcasts,"Cybersecurity Basics, Intro to DSA, Frontend Crash Course",Python Crash Course,medium.com
3419,Third Year (TE),Computer Science Engineering,"Linux, AWS, Docker, React, HTML",C,C,A,B,C,C,A,C,B,A,18,77,5,Podcasts,AWS Cloud Essentials,Python Crash Course,"towardsdatascience.com, geeksforgeeks.org"
3420,Final Year (BE),Electronics and Computer Engineering,"React, SQL, Python, Java, C++",C,A,C,A,B,C,B,B,B,A,23,50,27,Podcasts,"Intro to DSA, AWS Cloud Essentials, Cybersecurity Basics",Python Crash Course,dev.to
3421,Third Year (TE),Artificial Intelligence and Machine Learning,"SQL, CSS, JavaScript, HTML, React",B,A,B,A,C,A,B,B,B,C,20,20,60,Projects,ML Bootcamp,Design Patterns,geeksforgeeks.org
3422,Second Year (SE),Electronics and Computer Engineering,"JavaScript, Python, AWS, HTML",B,C,C,B,B,A,A,B,C,C,42,54,4,Podcasts,ML Bootcamp,"Python Crash Course, AI: A Modern Approach","medium.com, geeksforgeeks.org"
3423,First Year (FE),Electronics and Computer Engineering,"HTML, CSS, Figma",A,B,B,A,C,C,C,A,B,B,21,78,1,Podcasts,"Cybersecurity Basics, Frontend Crash Course, ML Bootcamp","AI: A Modern Approach, Python Crash Course",geeksforgeeks.org
3424,First Year (FE),Artificial Intelligence and Machine Learning,"C++, Java, CSS",B,A,C,A,C,A,B,C,B,B,22,29,49,Projects,"Frontend Crash Course, Cybersecurity Basics",Clean Code,freecodecamp.org
3425,First Year (FE),Computer Science Engineering,"Figma, C++, Docker, AWS",A,A,B,A,C,A,B,A,C,A,42,52,6,Podcasts,"ML Bootcamp, AWS Cloud Essentials",You Don’t Know JS,medium.com
3426,Final Year (BE),Artificial Intelligence and Machine Learning,"HTML, C++, React, SQL, CSS",B,A,A,B,A,C,B,B,B,B,30,61,9,Podcasts,"AWS Cloud Essentials, ML Bootcamp","Design Patterns, Python Crash Course","medium.com, towardsdatascience.com"
3427,Second Year (SE),Electronics & Communication,"Docker, C++, Figma, HTML, React",B,A,A,A,A,A,C,C,B,A,60,17,23,Videos,"AWS Cloud Essentials, ML Bootcamp, Frontend Crash Course",Python Crash Course,"medium.com, dev.to"
3428,Second Year (SE),Information Technology,"JavaScript, AWS",C,C,B,B,C,C,B,C,A,C,40,40,20,Videos,Frontend Crash Course,Design Patterns,"medium.com, dev.to"
3429,First Year (FE),Information Technology,"Java, SQL, HTML, JavaScript, Figma",C,B,B,C,C,C,A,C,A,C,60,31,9,Videos,Frontend Crash Course,"You Don’t Know JS, Python Crash Course",dev.to
3430,Second Year (SE),Artificial Intelligence and Machine Learning,"C++, Docker, CSS, Figma",A,A,B,B,B,B,A,C,C,C,11,33,56,Projects,AWS Cloud Essentials,"Design Patterns, AI: A Modern Approach","medium.com, towardsdatascience.com"
3431,Third Year (TE),Electronics and Computer Engineering,"Figma, SQL, Linux, Python, JavaScript",A,B,C,C,B,A,A,A,C,B,29,63,8,Podcasts,AWS Cloud Essentials,AI: A Modern Approach,medium.com
3432,Second Year (SE),Information Technology,"Python, Java, Linux",C,A,C,C,A,A,B,B,A,A,26,69,5,Podcasts,ML Bootcamp,Design Patterns,medium.com
3433,Final Year (BE),Artificial Intelligence and Machine Learning,"HTML, CSS, Figma, React, Python",B,A,B,B,B,B,C,A,C,B,12,50,38,Podcasts,"Cybersecurity Basics, Frontend Crash Course",Clean Code,"dev.to, freecodecamp.org"
3434,First Year (FE),Electronics & Communication,"CSS, C++, Docker, HTML, Figma",B,A,B,A,A,B,B,C,A,B,46,17,37,Videos,"Frontend Crash Course, ML Bootcamp","Design Patterns, Clean Code",geeksforgeeks.org
3435,Final Year (BE),Artificial Intelligence and Machine Learning,"Docker, CSS, Python, Figma",C,B,C,B,B,C,B,A,A,A,42,51,7,Podcasts,"Cybersecurity Basics, ML Bootcamp",Clean Code,"geeksforgeeks.org, medium.com"
3436,Final Year (BE),Information Technology,"CSS, Java, Docker, SQL",A,B,B,A,B,B,B,C,A,C,28,57,15,Podcasts,"Intro to DSA, Frontend Crash Course, ML Bootcamp",AI: A Modern Approach,dev.to
3437,Third Year (TE),Information Technology,"C++, Docker, SQL, AWS, CSS",A,C,C,A,B,C,B,C,A,B,10,21,69,Projects,"Intro to DSA, Cybersecurity Basics",Clean Code,geeksforgeeks.org
3438,Third Year (TE),Electronics and Computer Engineering,"React, Docker",B,B,B,C,B,A,B,C,B,A,21,68,11,Podcasts,ML Bootcamp,"You Don’t Know JS, Python Crash Course",freecodecamp.org
3439,Third Year (TE),Electronics & Communication,"Linux, SQL, C++",B,B,A,C,C,C,B,B,A,A,32,11,57,Projects,AWS Cloud Essentials,Python Crash Course,freecodecamp.org
3440,Third Year (TE),Electronics & Communication,"JavaScript, HTML, Java, Figma, Linux",B,B,B,B,B,A,A,B,B,B,38,29,33,Videos,"Cybersecurity Basics, Intro to DSA","Python Crash Course, AI: A Modern Approach",dev.to
3441,Third Year (TE),Electronics and Computer Engineering,"Java, Figma",A,B,C,C,A,A,B,C,B,C,22,57,21,Podcasts,"Frontend Crash Course, AWS Cloud Essentials",Python Crash Course,"towardsdatascience.com, freecodecamp.org"
3442,Third Year (TE),Electronics and Computer Engineering,"HTML, AWS, C++",A,C,B,C,C,C,A,C,B,C,39,12,49,Projects,"AWS Cloud Essentials, Frontend Crash Course","You Don’t Know JS, Design Patterns",dev.to
3443,Final Year (BE),Electronics and Computer Engineering,"Docker, AWS, C++, SQL",A,A,B,C,C,A,C,C,C,B,21,60,19,Podcasts,"Cybersecurity Basics, Intro to DSA","Design Patterns, You Don’t Know JS","medium.com, towardsdatascience.com"
3444,First Year (FE),Electronics and Computer Engineering,"React, Figma, AWS, SQL, JavaScript",B,B,C,A,B,A,C,B,B,A,42,46,12,Podcasts,"AWS Cloud Essentials, Frontend Crash Course, Cybersecurity Basics",Design Patterns,dev.to
3445,First Year (FE),Artificial Intelligence and Machine Learning,"AWS, CSS, JavaScript, Java, SQL",A,A,A,A,C,C,A,B,B,B,55,21,24,Videos,"Frontend Crash Course, Intro to DSA, AWS Cloud Essentials",You Don’t Know JS,freecodecamp.org
3446,Final Year (BE),Artificial Intelligence and Machine Learning,"C++, Python",B,A,C,B,C,B,B,A,A,C,59,20,21,Videos,"ML Bootcamp, AWS Cloud Essentials, Cybersecurity Basics",Python Crash Course,towardsdatascience.com
3447,First Year (FE),Computer Science Engineering,"JavaScript, C++, Docker",C,C,B,C,B,C,C,B,B,C,31,21,48,Projects,"Frontend Crash Course, Intro to DSA, ML Bootcamp",Clean Code,"medium.com, dev.to"
3448,First Year (FE),Electronics & Communication,"React, JavaScript, Docker, C++",B,B,C,A,A,B,B,C,C,C,31,28,41,Projects,"Cybersecurity Basics, ML Bootcamp, AWS Cloud Essentials",Design Patterns,"dev.to, medium.com"
3449,Final Year (BE),Artificial Intelligence and Machine Learning,"AWS, SQL, JavaScript, React, HTML",C,B,C,A,C,C,A,C,B,B,48,34,18,Videos,"Intro to DSA, Frontend Crash Course",Design Patterns,towardsdatascience.com
3450,Second Year (SE),Information Technology,"CSS, Java, SQL, React, Figma",A,A,A,B,A,A,B,A,C,A,47,27,26,Videos,"Frontend Crash Course, Intro to DSA",Design Patterns,"towardsdatascience.com, medium.com"
3451,Final Year (BE),Information Technology,"Docker, Linux",C,C,C,A,C,A,A,A,B,A,53,33,14,Videos,Frontend Crash Course,You Don’t Know JS,"towardsdatascience.com, medium.com"
3452,Third Year (TE),Information Technology,"C++, Docker",B,C,B,A,B,B,C,C,C,C,37,59,4,Podcasts,"Frontend Crash Course, Cybersecurity Basics","Clean Code, AI: A Modern Approach","towardsdatascience.com, medium.com"
3453,Second Year (SE),Computer Science Engineering,"JavaScript, SQL, Docker",A,A,B,A,C,B,B,C,A,A,54,24,22,Videos,"Cybersecurity Basics, Frontend Crash Course",AI: A Modern Approach,geeksforgeeks.org
3454,Third Year (TE),Electronics & Communication,"HTML, Linux",A,C,B,C,A,A,B,B,B,A,10,90,0,Podcasts,Intro to DSA,"Python Crash Course, Design Patterns",towardsdatascience.com
3455,Second Year (SE),Electronics and Computer Engineering,"Python, HTML, JavaScript",C,B,B,A,A,A,C,C,A,B,23,77,0,Podcasts,"Intro to DSA, AWS Cloud Essentials",Clean Code,"dev.to, towardsdatascience.com"
3456,First Year (FE),Artificial Intelligence and Machine Learning,"SQL, JavaScript, Docker",A,A,A,A,A,A,C,B,A,A,34,47,19,Podcasts,"Cybersecurity Basics, Frontend Crash Course, AWS Cloud Essentials","AI: A Modern Approach, Clean Code",dev.to
3457,First Year (FE),Artificial Intelligence and Machine Learning,"JavaScript, AWS, HTML, Java, Linux",C,A,B,A,A,C,B,A,A,B,45,21,34,Videos,Intro to DSA,"Clean Code, Python Crash Course","dev.to, freecodecamp.org"
3458,First Year (FE),Artificial Intelligence and Machine Learning,"JavaScript, Java, SQL, React",B,C,C,C,B,C,C,A,B,C,52,18,30,Videos,"Cybersecurity Basics, Intro to DSA, Frontend Crash Course",Clean Code,"dev.to, towardsdatascience.com"
3459,First Year (FE),Information Technology,"AWS, Linux, CSS, HTML",A,C,B,B,A,A,B,A,A,C,32,66,2,Podcasts,"Intro to DSA, Frontend Crash Course",Clean Code,medium.com
3460,Final Year (BE),Information Technology,"HTML, C++, React",B,C,B,A,C,B,B,A,B,A,57,19,24,Videos,Frontend Crash Course,You Don’t Know JS,geeksforgeeks.org
3461,Second Year (SE),Computer Science Engineering,"AWS, Linux, Java, React, C++",A,B,B,B,C,C,B,C,A,C,58,16,26,Videos,ML Bootcamp,Clean Code,"geeksforgeeks.org, towardsdatascience.com"
3462,Final Year (BE),Computer Science Engineering,"SQL, HTML",A,A,B,B,C,C,A,A,B,C,50,25,25,Videos,"AWS Cloud Essentials, Intro to DSA, Cybersecurity Basics",Design Patterns,"towardsdatascience.com, freecodecamp.org"
3463,Second Year (SE),Electronics and Computer Engineering,"Linux, HTML",C,A,B,B,C,B,C,C,A,B,25,54,21,Podcasts,AWS Cloud Essentials,You Don’t Know JS,geeksforgeeks.org
3464,First Year (FE),Artificial Intelligence and Machine Learning,"AWS, Figma",C,A,C,A,B,B,C,A,B,A,41,22,37,Videos,"ML Bootcamp, Frontend Crash Course, Cybersecurity Basics",Python Crash Course,freecodecamp.org
3465,Second Year (SE),Electronics & Communication,"Linux, Docker",A,B,A,C,A,B,A,B,C,A,15,44,41,Podcasts,"Intro to DSA, ML Bootcamp, Cybersecurity Basics",AI: A Modern Approach,freecodecamp.org
3466,Second Year (SE),Computer Science Engineering,"Docker, JavaScript, CSS, C++",A,C,B,C,B,B,A,C,B,C,37,60,3,Podcasts,"Intro to DSA, Cybersecurity Basics","Design Patterns, Python Crash Course",geeksforgeeks.org
3467,Third Year (TE),Computer Science Engineering,"Linux, CSS",C,C,B,B,B,B,B,C,B,C,48,11,41,Videos,"ML Bootcamp, Frontend Crash Course",Python Crash Course,"geeksforgeeks.org, medium.com"
3468,Second Year (SE),Information Technology,"JavaScript, CSS, Docker, React, Figma",C,B,A,C,A,C,A,A,B,A,52,19,29,Videos,Cybersecurity Basics,AI: A Modern Approach,"freecodecamp.org, dev.to"
